Tournament,Date,Series,Court,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,Score,Rank_Mean,Upset,Selected_Player,Opponent,match_index,youtube_search_query,youtube_video_id,youtube_video_title,youtube_channel_title,youtube_published_at,youtube_url,comment_number,comment_text,comment_likes,comment_published_at,sentiment_score,negative_score,neutral_score,positive_score,compound_score,sentiment_label
Wimbledon,2025-07-13,Grand Slam,Outdoor,Grass,The Final,5,Alcaraz C.,Sinner J.,Sinner J.,2,1,9300,10430,2.0,1.83,6-4 4-6 4-6 4-6,1.5,False,Sinner,Alcaraz C.,0,Alcaraz vs Sinner Wimbledon 2025 highlights,CxfFbGWS9qw,An EPIC rivalry for the ages | Carlos Alcaraz v Jannik Sinner | Extended Highlights | Wimbledon 2025,Wimbledon,2025-07-13T19:45:54Z,https://www.youtube.com/watch?v=CxfFbGWS9qw,1,The way he has recovered from that heartbreaking loss at Roland Garros is nothing short of incredible.,2512,2025-07-13T19:51:53Z,"{'neg': 0.261, 'neu': 0.739, 'pos': 0.0, 'compound': -0.6486}",0.261,0.739,0.0,-0.6486,Negative
Wimbledon,2025-07-13,Grand Slam,Outdoor,Grass,The Final,5,Alcaraz C.,Sinner J.,Sinner J.,2,1,9300,10430,2.0,1.83,6-4 4-6 4-6 4-6,1.5,False,Sinner,Alcaraz C.,0,Alcaraz vs Sinner Wimbledon 2025 highlights,CxfFbGWS9qw,An EPIC rivalry for the ages | Carlos Alcaraz v Jannik Sinner | Extended Highlights | Wimbledon 2025,Wimbledon,2025-07-13T19:45:54Z,https://www.youtube.com/watch?v=CxfFbGWS9qw,2,"This is one of most elite tennis I have ever seen.  Offense, defense, movement, power, angles.....from both players.",1140,2025-07-14T02:39:28Z,"{'neg': 0.103, 'neu': 0.821, 'pos': 0.077, 'compound': -0.128}",0.103,0.821,0.077,-0.128,Negative
Wimbledon,2025-07-13,Grand Slam,Outdoor,Grass,The Final,5,Alcaraz C.,Sinner J.,Sinner J.,2,1,9300,10430,2.0,1.83,6-4 4-6 4-6 4-6,1.5,False,Sinner,Alcaraz C.,0,Alcaraz vs Sinner Wimbledon 2025 highlights,CxfFbGWS9qw,An EPIC rivalry for the ages | Carlos Alcaraz v Jannik Sinner | Extended Highlights | Wimbledon 2025,Wimbledon,2025-07-13T19:45:54Z,https://www.youtube.com/watch?v=CxfFbGWS9qw,3,"True champion! He doesn't scream, shout, or boast, whether he wins or loses a point.. always calm and composed. Amazing character.",1531,2025-07-15T04:39:47Z,"{'neg': 0.065, 'neu': 0.396, 'pos': 0.539, 'compound': 0.9497}",0.065,0.396,0.539,0.9497,Positive
Wimbledon,2025-07-13,Grand Slam,Outdoor,Grass,The Final,5,Alcaraz C.,Sinner J.,Sinner J.,2,1,9300,10430,2.0,1.83,6-4 4-6 4-6 4-6,1.5,False,Sinner,Alcaraz C.,0,Alcaraz vs Sinner Wimbledon 2025 highlights,CxfFbGWS9qw,An EPIC rivalry for the ages | Carlos Alcaraz v Jannik Sinner | Extended Highlights | Wimbledon 2025,Wimbledon,2025-07-13T19:45:54Z,https://www.youtube.com/watch?v=CxfFbGWS9qw,4,I like how grounded the celebration is. Arms aloft. Smile. That's it. Man this generation is a fine exemplar of sportsmanship,755,2025-07-15T04:04:15Z,"{'neg': 0.0, 'neu': 0.726, 'pos': 0.274, 'compound': 0.7003}",0.0,0.726,0.274,0.7003,Positive
Wimbledon,2025-07-13,Grand Slam,Outdoor,Grass,The Final,5,Alcaraz C.,Sinner J.,Sinner J.,2,1,9300,10430,2.0,1.83,6-4 4-6 4-6 4-6,1.5,False,Sinner,Alcaraz C.,0,Alcaraz vs Sinner Wimbledon 2025 highlights,CxfFbGWS9qw,An EPIC rivalry for the ages | Carlos Alcaraz v Jannik Sinner | Extended Highlights | Wimbledon 2025,Wimbledon,2025-07-13T19:45:54Z,https://www.youtube.com/watch?v=CxfFbGWS9qw,5,"Alcaraz fan here to congratulate Jannik! His serve was unstoppable today.

These two will bring plenty of joy for tennis enjoyers in years to come and im so here for it!",786,2025-07-13T20:09:30Z,"{'neg': 0.044, 'neu': 0.636, 'pos': 0.32, 'compound': 0.9059}",0.044,0.636,0.32,0.9059,Positive
Wimbledon,2025-07-13,Grand Slam,Outdoor,Grass,The Final,5,Alcaraz C.,Sinner J.,Sinner J.,2,1,9300,10430,2.0,1.83,6-4 4-6 4-6 4-6,1.5,False,Sinner,Alcaraz C.,0,Alcaraz vs Sinner Wimbledon 2025 highlights,CxfFbGWS9qw,An EPIC rivalry for the ages | Carlos Alcaraz v Jannik Sinner | Extended Highlights | Wimbledon 2025,Wimbledon,2025-07-13T19:45:54Z,https://www.youtube.com/watch?v=CxfFbGWS9qw,6,"I'm in love with Jannik Sinner's game, so elegant, so powerful and precise and beautiful to watch! I binge on every single video showcasing his highlights, too good!",255,2025-07-15T08:28:16Z,"{'neg': 0.0, 'neu': 0.541, 'pos': 0.459, 'compound': 0.9662}",0.0,0.541,0.459,0.9662,Positive
Wimbledon,2025-07-13,Grand Slam,Outdoor,Grass,The Final,5,Alcaraz C.,Sinner J.,Sinner J.,2,1,9300,10430,2.0,1.83,6-4 4-6 4-6 4-6,1.5,False,Sinner,Alcaraz C.,0,Alcaraz vs Sinner Wimbledon 2025 highlights,CxfFbGWS9qw,An EPIC rivalry for the ages | Carlos Alcaraz v Jannik Sinner | Extended Highlights | Wimbledon 2025,Wimbledon,2025-07-13T19:45:54Z,https://www.youtube.com/watch?v=CxfFbGWS9qw,7,"whoever makes these highlights- the break points are important. take out a few of the routine serve hold points, and show at least the breaks of serve, plus maybe a good rally that led to the break occasionally.. missing that... it's like skipping over an inning ending strikeout in baseball, or an interception in American football.",595,2025-07-13T20:29:19Z,"{'neg': 0.031, 'neu': 0.851, 'pos': 0.118, 'compound': 0.6478}",0.031,0.851,0.118,0.6478,Positive
Wimbledon,2025-07-13,Grand Slam,Outdoor,Grass,The Final,5,Alcaraz C.,Sinner J.,Sinner J.,2,1,9300,10430,2.0,1.83,6-4 4-6 4-6 4-6,1.5,False,Sinner,Alcaraz C.,0,Alcaraz vs Sinner Wimbledon 2025 highlights,CxfFbGWS9qw,An EPIC rivalry for the ages | Carlos Alcaraz v Jannik Sinner | Extended Highlights | Wimbledon 2025,Wimbledon,2025-07-13T19:45:54Z,https://www.youtube.com/watch?v=CxfFbGWS9qw,8,Sinner outplayed Alcaraz in every single way in this match. He was on fire!!!!,244,2025-07-13T21:40:25Z,"{'neg': 0.215, 'neu': 0.785, 'pos': 0.0, 'compound': -0.5526}",0.215,0.785,0.0,-0.5526,Negative
Wimbledon,2025-07-13,Grand Slam,Outdoor,Grass,The Final,5,Alcaraz C.,Sinner J.,Sinner J.,2,1,9300,10430,2.0,1.83,6-4 4-6 4-6 4-6,1.5,False,Sinner,Alcaraz C.,0,Alcaraz vs Sinner Wimbledon 2025 highlights,CxfFbGWS9qw,An EPIC rivalry for the ages | Carlos Alcaraz v Jannik Sinner | Extended Highlights | Wimbledon 2025,Wimbledon,2025-07-13T19:45:54Z,https://www.youtube.com/watch?v=CxfFbGWS9qw,9,"I didn’t thought Sinner would beat Alcraz today after that loss in french, Sinner showed the mental toughness today and got it done, congrats.",101,2025-07-14T01:38:42Z,"{'neg': 0.125, 'neu': 0.753, 'pos': 0.122, 'compound': 0.2263}",0.125,0.753,0.122,0.2263,Positive
Wimbledon,2025-07-13,Grand Slam,Outdoor,Grass,The Final,5,Alcaraz C.,Sinner J.,Sinner J.,2,1,9300,10430,2.0,1.83,6-4 4-6 4-6 4-6,1.5,False,Sinner,Alcaraz C.,0,Alcaraz vs Sinner Wimbledon 2025 highlights,CxfFbGWS9qw,An EPIC rivalry for the ages | Carlos Alcaraz v Jannik Sinner | Extended Highlights | Wimbledon 2025,Wimbledon,2025-07-13T19:45:54Z,https://www.youtube.com/watch?v=CxfFbGWS9qw,10,The last game of 2nd set is pure melody from Sinner..,208,2025-07-15T04:24:29Z,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Neutral
