Player,Opponent,Winner,Date,Youtube Video Title,Comment,Sentiment
Sinner J.,Djokovic N.,Sinner J.,2025-07-11,Sublime from Sinner | Jannik Sinner vs Novak Djokovic | Extended Highlights | Wimbledon 2025,"Welp, Roger's 8 Wimbledon titles record is officially safe for years now 😎😎",Neutral
Sinner J.,Djokovic N.,Sinner J.,2025-07-11,Sublime from Sinner | Jannik Sinner vs Novak Djokovic | Extended Highlights | Wimbledon 2026,"Felt a bit like the torch passing from the Big 3 (Fed, Nadal, Djoker) to the new Big 2 (Sinner+Alcaraz). Bittersweet and exciting.",Positive
Sinner J.,Djokovic N.,Sinner J.,2025-07-11,Sublime from Sinner | Jannik Sinner vs Novak Djokovic | Extended Highlights | Wimbledon 2027,I dont think ive ever seen Djokovic not have an answer and he knew it.,Negative
Sinner J.,Djokovic N.,Sinner J.,2025-07-11,Sublime from Sinner | Jannik Sinner vs Novak Djokovic | Extended Highlights | Wimbledon 2028,"Making it to the semi-finals, beating players nearly half his age to get there is an amazing feat, but father time has caught up to him",Negative
Sinner J.,Djokovic N.,Sinner J.,2025-07-11,Sublime from Sinner | Jannik Sinner vs Novak Djokovic | Extended Highlights | Wimbledon 2029,Sinner makes any fast player seem slow. Incredible,Positive
Sinner J.,Rublev A.,Sinner J.,2025-06-02,Jannik Sinner vs Andrey Rublev - FULL Match Highlights - Fourth Round | Roland Garros 2025,The scary thing is that Rublev played great. Sinner is literally unplayable.,Positive
Sinner J.,Rublev A.,Sinner J.,2025-06-02,Jannik Sinner vs Andrey Rublev - FULL Match Highlights - Fourth Round | Roland Garros 2025,This is what highlights should be. Excellent job!,Positive
Sinner J.,Rublev A.,Sinner J.,2025-06-02,Jannik Sinner vs Andrey Rublev - FULL Match Highlights - Fourth Round | Roland Garros 2025,Sinner is brutally good. I love watching Rublev play. It's heartwarming when the players meet at the net like this at the end of the match. I wish both great athletes the best.,Positive
Sinner J.,Rublev A.,Sinner J.,2025-06-02,Jannik Sinner vs Andrey Rublev - FULL Match Highlights - Fourth Round | Roland Garros 2025,"Rublev had one of the best serves this week so far, and served at around 75%. Sinner served around 57%, and still won like this…",Neutral
Sinner J.,Rublev A.,Sinner J.,2025-06-02,Jannik Sinner vs Andrey Rublev - FULL Match Highlights - Fourth Round | Roland Garros 2025,the unnerving fact is Sinner was not definitely at his best. Not even close.,Negative
Sinner J.,Alcaraz C.,Alcaraz C.,2025-05-18,Jannik Sinner vs Carlos Alcaraz For The Title! 🏆 | Rome 2025 Final Highlights,This is what we call the tennis quantum paradox: Nobody can beat sinner except Alcaraz. Everybody on a good day can beat Alcaraz except sinner,Neutral
Sinner J.,Alcaraz C.,Alcaraz C.,2025-05-18,Jannik Sinner vs Carlos Alcaraz For The Title! 🏆 | Rome 2025 Final Highlights,"Alcaraz has already won all 4 major clay titles (Roland Garros, Monte Carlo, Madrid and Rome) at age 22 😳",Positive
Sinner J.,Alcaraz C.,Alcaraz C.,2025-05-18,Jannik Sinner vs Carlos Alcaraz For The Title! 🏆 | Rome 2025 Final Highlights,"Alcaraz to Sinner at the end: ""Happy to have you back..."" That's called true sportmanship.",Positive
Sinner J.,Alcaraz C.,Alcaraz C.,2025-05-18,Jannik Sinner vs Carlos Alcaraz For The Title! 🏆 | Rome 2025 Final Highlights,"Very few can take on Sinner's rhythmic and consistent pummelling from the baseline, but Alcaraz's variation and agility is the perfect antidote.  A brilliant title win.",Positive
Sinner J.,Alcaraz C.,Alcaraz C.,2025-05-18,Jannik Sinner vs Carlos Alcaraz For The Title! 🏆 | Rome 2025 Final Highlights,"Alcaraz lives for these big matches, big moments, moments when the stakes are high. Congratulations, Carlitos! I have started watching tennis again because of you!!",Positive
Alcaraz C.,Sinner J.,Sinner J.,2025-07-13,An EPIC rivalry for the ages | Carlos Alcaraz v Jannik Sinner | Extended Highlights | Wimbledon 2025,The way he has recovered from that heartbreaking loss at Roland Garros is nothing short of incredible.,Positive
Alcaraz C.,Sinner J.,Sinner J.,2025-07-13,An EPIC rivalry for the ages | Carlos Alcaraz v Jannik Sinner | Extended Highlights | Wimbledon 2026,"True champion! He doesn't scream, shout, or boast, whether he wins or loses a point.. always calm and composed. Amazing character.",Positive
Alcaraz C.,Sinner J.,Sinner J.,2025-07-13,An EPIC rivalry for the ages | Carlos Alcaraz v Jannik Sinner | Extended Highlights | Wimbledon 2027,"This is one of most elite tennis I have ever seen.  Offense, defense, movement, power, angles.....from both players.",Positive
Alcaraz C.,Sinner J.,Sinner J.,2025-07-13,An EPIC rivalry for the ages | Carlos Alcaraz v Jannik Sinner | Extended Highlights | Wimbledon 2028,Alcaraz fan here to congratulate Jannik! His serve was unstoppable today. These two will bring plenty of joy for tennis enjoyers in years to come and im so here for it!,Positive
Alcaraz C.,Sinner J.,Sinner J.,2025-07-13,An EPIC rivalry for the ages | Carlos Alcaraz v Jannik Sinner | Extended Highlights | Wimbledon 2029,The last game of 2nd set is pure melody from Sinner..,Positive
Alcaraz C.,Paul T.,Alcaraz C.,2025-06-03,Carlos Alcaraz vs Tommy Paul - FULL Quarterfinal Highlights | Roland Garros 2025,Paul got hit by a truck tonight.,Negative
Alcaraz C.,Paul T.,Alcaraz C.,2025-06-03,Carlos Alcaraz vs Tommy Paul - FULL Quarterfinal Highlights | Roland Garros 2026,Alcaraz and Sinner just feel above everyone else in this tournament...,Positive
Alcaraz C.,Paul T.,Alcaraz C.,2025-06-03,Carlos Alcaraz vs Tommy Paul - FULL Quarterfinal Highlights | Roland Garros 2027,Both women's matches were longer than this. That's how dominant Carlos was.,Positive
Alcaraz C.,Paul T.,Alcaraz C.,2025-06-03,Carlos Alcaraz vs Tommy Paul - FULL Quarterfinal Highlights | Roland Garros 2028,What I just saw was not normal. This man is not human. He just made and exceptionally talented player look average.,Neutral
Alcaraz C.,Paul T.,Alcaraz C.,2025-06-03,Carlos Alcaraz vs Tommy Paul - FULL Quarterfinal Highlights | Roland Garros 2029,"So polite Carlos at the end, like ""sorry man, it was not my intention...""",Positive
Alcaraz C.,Rune H.,Rune H.,2025-04-20,Carlos Alcaraz vs Holger Rune For The Title! 🏆 | Barcelona 2025 Final Highlights,"What a match from Rune, perfect from start to finish, no one would have thought at the start of the tournament that he would win, and welcome back to the top 10!",Positive
Alcaraz C.,Rune H.,Rune H.,2025-04-20,Carlos Alcaraz vs Holger Rune For The Title! 🏆 | Barcelona 2025 Final Highlights,What an insane run from Rune. Well played to both him and Carlos.,Positive
Alcaraz C.,Rune H.,Rune H.,2025-04-20,Carlos Alcaraz vs Holger Rune For The Title! 🏆 | Barcelona 2025 Final Highlights,What I took from the commentator is that everything is huge 😂,Neutral
Alcaraz C.,Rune H.,Rune H.,2025-04-20,Carlos Alcaraz vs Holger Rune For The Title! 🏆 | Barcelona 2025 Final Highlights,"Rune had a bad behavior in the past but now he is more mature person. I was rooting for him in this final, well done.",Neutral
Alcaraz C.,Rune H.,Rune H.,2025-04-20,Carlos Alcaraz vs Holger Rune For The Title! 🏆 | Barcelona 2025 Final Highlights,"Good win for Rune, he was amazing!",Positive
Zverev A.,Medvedev D.,Medvedev D.,2025-06-21,Alexander Zverev vs Daniil Medvedev Highlights | Halle 2025,It feels good to see Daniil coming back at this level !,Positive
Zverev A.,Medvedev D.,Medvedev D.,2025-06-21,Alexander Zverev vs Daniil Medvedev Highlights | Halle 2026,Octopus Nation rise up 🐙🐙🐙,Neutral
Zverev A.,Medvedev D.,Medvedev D.,2025-06-21,Alexander Zverev vs Daniil Medvedev Highlights | Halle 2027,Nice to see Medvedev playing like a top 5 again. He is gonna be dangerous in WB!,Positive
Zverev A.,Medvedev D.,Medvedev D.,2025-06-21,Alexander Zverev vs Daniil Medvedev Highlights | Halle 2028,Medvedev and Fritz really have Zverev’s numbers. It’s like he goes through a mental block whenever he sees them.,Negative
Zverev A.,Medvedev D.,Medvedev D.,2025-06-21,Alexander Zverev vs Daniil Medvedev Highlights | Halle 2029,Big Meddy fan.  But man does Zverev have a sweet 2 hander.,Positive
Zverev A.,Musetti L.,Musetti L.,2025-05-14,Thrilling Alexander Zverev vs Lorenzo Musetti Encounter 💥 | Rome 2025 Highlights,"Winning or losing, it's a joy to watch Musetti play tennis.",Positive
Zverev A.,Musetti L.,Musetti L.,2025-05-14,Thrilling Alexander Zverev vs Lorenzo Musetti Encounter 💥 | Rome 2025 Highlights,"Musetti's variety of shots - high balls,  low slices, extreme top spin shots, angles.  What a pleasure to watch.",Positive
